"","X","beach.name","job","age.respondent","years.fisheries","no.days.per.month.lake","choice.fishing.area","catch.size.change","catch.change.trend","catch.change.amount","catch.change.type","catch.cause.size.change","comment.unedited","water.clarity.change","water.smell.change","fish.spp.change","fish.abundance.change","change.aquatic.plants","total.plant.abundance.change","earliest.algal.bloom","bloom.effect.waterqual","bloom.effect.business","bloom.effect.fish","cause.bloom","future.for.fishery"
"1",1,"Rare","Boat owner",32,20,15,"proximity","Y","reduced","minor","reduced","illegal or unregulated fishing gear","","interested in learning more","no change","reduced","reduced","increased","increased",2006,"poor water quality ","increase in price","negatively impacts fish health","change in water clarity","Y"
"2",2,"Rare","Crew",25,12,15,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1993,"contaminates water; linked to health","decrease in fish business or profit","negatively impacts fish","change in water clarity","N"
"3",3,"Rare","Crew",16,5,5,"proximity","Y","reduced","reduced","no change","water quality ","","reduced","increased","increased","reduced","increased","increased",2010,"poor water quality ","decrease in fish business or profit","decreases survival","change in water clarity","N"
"4",4,"Rare","Crew",49,20,15,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","at times","reduced","reduced","variable","increased",1980,"odor change","increase in fish business (price) due to high demand (shortage)","disappearance of fish","change in water clarity","N"
"5",5,"Rare","Crew",25,8,21,"proximity","Y","reduced","reduced","reduced","water hyacinth","","reduced","increased","reduced","reduced","increased","increased",2008,"color change","decrease in fish business or profit","avoidance of bloom by fish","change in water clarity","N"
"6",6,"Rare","Crew",33,18,15,"proximity","Y","reduced","reduced","no change","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2005,"poor water quality ","unimpacted","disappearance of fish","seasonal","N"
"7",7,"Rare","Crew",33,18,15,"proximity","Y","reduced","reduced","reduced","odor in water","Mbita","reduced","increased","reduced","reduced","increased","increased",1980,"odor change","price fluctuation","disappearance of fish","Mbita causeway","N"
"8",8,"Rare","Crew",62,42,16,"proximity","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2004,"poor water quality ","increase in price","results in fish mortalities","water hyacinth","uncertain"
"9",9,"Rare","Crew",45,22,20,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","reduced","reduced","increased","increased",2002,"poor water quality ","decrease in fish business or profit","disappearance of fish","change in water clarity","N"
"10",10,"Rare","Crew",22,7,15,"proximity","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2007,"poor water quality ","decrease in fish business or profit","disappearance of fish","change in water clarity","N"
"11",11,"Rare","Crew",20,5,14,"proximity","Y","reduced","reduced","reduced","blooms","","reduced","increased","reduced","reduced","increased","increased",2014,"poor water quality ","price fluctuation","disappearance of fish","manure","N"
"12",12,"Rare","Crew",24,10,15,"proximity","Y","reduced","reduced","reduced","water quality ","","reduced","increased","reduced","reduced","increased","increased",2011,"poor water quality ","decrease in fish business or profit","reduces quantity","change in water clarity","N"
"13",13,"Rare","Crew",24,7,14,"proximity","Y","reduced","reduced","increased","water quality ","","reduced","increased","reduced","reduced","increased","increased",2014,"poor water quality ","decrease in fish business or profit","reduces quantity","industrial waste","N"
"14",14,"Rare","Crew",18,2,12,"proximity","N","no change","no change","no change","none","","no change","increased","increased","increased","increased","reduced",2014,"poor water quality ","decrease in fish business or profit","reduces quantity","current","N"
"15",15,"Rare","Crew",48,5,22,"proximity","Y","reduced","reduced","increased","water quality ","","reduced","increased","increased","reduced","increased","reduced",2014,"poor water quality ","decrease in fish business or profit","results in fish mortalities","change in water clarity","Y"
