"","beach.name","earliest.algal.bloom","bloom.effect.waterqual","bloom.effect.business","bloom.effect.fish","cause.bloom","water.clarity.change","water.smell.change","change.aquatic.plants","total.plant.abundance.change","future.for.fishery","comment.fishery.unedited"
"1","Rare",2006,"poor water quality ","increase in price","negatively impacts fish health","change in water clarity","interested in learning more","no change","increased","increased","Y","If fishermen use good gears"
"2","Rare",1993,"contaminates water; linked to health","decrease in fish business or profit","negatively impacts fish","change in water clarity","reduced","increased","increased","increased","N","Already there is little catch now"
"3","Rare",2010,"poor water quality ","decrease in fish business or profit","decreases survival","change in water clarity","reduced","increased","increased","increased","N","Change in water quality"
"4","Rare",1980,"odor change","increase in fish business (price) due to high demand (shortage)","disappearance of fish","change in water clarity","reduced","at times","variable","increased","N","Fish species has reduced"
"5","Rare",2008,"color change","decrease in fish business or profit","avoidance of bloom by fish","change in water clarity","reduced","increased","increased","increased","N","Change in water quality"
"6","Rare",2005,"poor water quality ","unimpacted","disappearance of fish","seasonal","reduced","increased","increased","increased","N","Water hyacinth and water quality"
"7","Rare",1980,"odor change","price fluctuation","disappearance of fish","Mbita causeway","reduced","increased","increased","increased","N","Constaraction of Mbita cause way"
"8","Rare",2004,"poor water quality ","increase in price","results in fish mortalities","water hyacinth","reduced","increased","increased","increased","uncertain",""
"9","Rare",2002,"poor water quality ","decrease in fish business or profit","disappearance of fish","change in water clarity","reduced","increased","increased","increased","N","Too many fishermen in the Lake"
"10","Rare",2007,"poor water quality ","decrease in fish business or profit","disappearance of fish","change in water clarity","reduced","increased","increased","increased","N","Illegal gears,dirty water and overpopulation"
"11","Rare",2014,"poor water quality ","price fluctuation","disappearance of fish","manure","reduced","increased","increased","increased","N","Illegagal gears"
"12","Rare",2011,"poor water quality ","decrease in fish business or profit","reduces quantity","change in water clarity","reduced","increased","increased","increased","N","Fish will exist forever"
"13","Rare",2014,"poor water quality ","decrease in fish business or profit","reduces quantity","industrial waste","reduced","increased","increased","increased","N","Change in water quality"
"14","Rare",2014,"poor water quality ","decrease in fish business or profit","reduces quantity","current","no change","increased","increased","reduced","N","Fish not breeding"
"15","Rare",2014,"poor water quality ","decrease in fish business or profit","results in fish mortalities","change in water clarity","reduced","increased","increased","reduced","Y",""
"16","Rare",1996,"poor water quality ","decrease in fish business or profit","disappearance of fish","change in water clarity","reduced","increased","increased","increased","N","Pollution from the industries"
"17","Rare",2009,"poor water quality ","decrease in fish business or profit","reduces quantity","change in water clarity","reduced","increased","increased","increased","N","Illegal gears."
"18","Rare",1992,"poor water quality ","decrease in fish business or profit","disappearance of fish","change in water clarity","reduced","increased","increased","increased","N","Waste from factories "
"19","Rare",2013,"poor water quality ","decrease in fish business or profit","results in fish mortalities","change in water clarity","reduced","increased","increased","increased","N","Water pollution"
"20","Rare",2006,"poor water quality ","decrease in fish business or profit","no effect","change in water quality","interested in learning more","increased","increased","increased","N","Don't know"
