"","Beach.Name","pot","jerricans","superdrum","bucket","barrel","tank","drum","stored.no","other.source.water","Other.sources.of.water","lake.water","borehole","river","tap","fishpond","rain","school","sources.count","comment.sources.raw","raw","boiling","chlorine","aeration","filter","types.no","water.concerns.raw","wash.clothes.in.lake","same.collection.spot","comments.site.collection.raw"
"1","Nyamaruaka",1,1,0,0,0,0,0,2,"N","none",1,0,0,0,0,0,0,1,"only lake water available","not",0,0,0,0,0,"water smells even after treatment and therefore not safe","Y","N","I choose a clean spot"
"2","Nyamaruaka",0,1,0,0,0,0,0,1,"Y","rain",1,0,0,0,0,1,0,2,"other sources are far","treated with aquaguard",0,1,0,0,1,"lake water is very dirty and is at risk of having contageous diseases","Y","N","I choose a clean spot"
"3","Nyamaruaka",0,1,0,0,0,0,0,1,"N","none",1,0,0,0,0,0,0,1,"other sources are far","not",0,0,0,0,0,"lake water is not clean due to blooms.fishermen who defeacate in the lake pollute water","N","N","I choose a clean spot"
"4","Nyamaruaka",1,1,0,0,0,0,0,2,"N","none",1,0,0,0,0,0,0,1,"other sources are far","treated with aquaguard",0,1,0,0,1,"Lake water is not safe since it is dirty","Y","Y","none"
"5","Nyamaruaka",0,1,0,0,0,0,0,1,"N","none",1,0,0,0,0,0,0,1,"no other source apart from lake and rain wter","not",0,0,0,0,0,"it is not safe and can cause diseases","N","N","I choose a clean spot"
"6","Nyamaruaka",1,0,1,0,0,0,0,2,"N","none",1,0,0,0,0,0,0,1,"no other source apart from lake and rain wter","treated with aquaguard",0,1,0,0,1,"noticed no effect","Y","Y","none"
"7","Nyamaruaka",0,0,1,0,0,0,0,1,"N","none",1,0,0,0,0,0,0,1,"no other source apart from lake and rain wter","dawa",0,1,0,0,1,"water is still dirty even after filtration and would wish to get cleaner source of water","N","N","I choose a clean spot"
"8","Nyamaruaka",1,0,1,0,0,0,0,2,"N","none",1,0,0,0,0,0,0,1,"other sources are far","dawa",0,1,0,0,1,"there is problem when blooms are available because it smells and makes water dirty","Y","N","I choose a clean spot"
"9","Nyamaruaka",0,0,1,0,0,0,0,1,"N","none",1,0,0,0,0,0,0,1,"no other source apart from lake and rain wter","treated with aquaguard",0,1,0,0,1,"lake water must be treated","Y","Y","I choose a clean spot"
"10","Nyamaruaka",0,1,1,0,0,0,0,2,"N","none",1,0,0,0,0,0,0,1,"other sources are far","treated with aquaguard",0,1,0,0,1,"can it be treated and piped inorder for people to get clean water?","Y","Y","I choose a clean spot"
"11","Nyamaruaka",0,0,1,0,0,0,0,1,"N","none",1,0,0,0,0,0,0,1,"none","treated with aquaguard",0,1,0,0,1,"it is dirty and there is nothing we can do about it","N","Y","I choose a clean spot"
"12","Nyamaruaka",0,1,0,0,0,0,0,1,"N","none",1,0,0,0,0,0,0,1,"other sources are far","treated with aquaguard",0,1,0,0,1,"no thoughts","N","Y","none"
